"sample","contrs","spec_d","spec_u","spec_m","hetero","design","ft_pt_cf","numerator","denom1","denom2","denom3","denom4","mvpf_1","mvpf_2","mvpf_3","mvpf_4","eff_fed_liab","eff_st_liab","eff_pay_liab","eff_fedeitc","eff_ctc","eff_caleitc","eff_st_nocal_liab","direct_real"
0,0,0,1,1,1,0,1,631.499799194853,760.587008713685,584.309828217389,719.643975368488,719.64405763334,0.830279497230506,1.08076189839461,0.877516967847189,0.877516867535372,176.277180496296,-129.087291783684,-135.334147151099,-113.311257010182,-72.1830501436747,129.087209518832,-8.22648520056298e-05,760.587008713685
0,0,0,1,1,1,0,2,631.291023316525,760.587008713685,756.677480419041,991.100939824037,991.101022088889,0.830005004140385,0.83429339401897,0.636959363017662,0.636959310147807,3.90952829464381,-129.296067662012,-234.423459404996,6.8271492234645,-76.757219530282,129.29598539716,-8.22648520056298e-05,760.587008713685
0,0,0,1,1,1,0,3,631.291023316525,760.587008713685,870.671017551325,1160.46711850038,1160.46720076524,0.830005004140385,0.7250626362779,0.543997338013603,0.543997299449945,-110.08400883764,-129.296067662012,-289.796100949058,74.0242379768892,-76.757219530282,129.29598539716,-8.22648520056298e-05,760.587008713685
0,0,0,1,1,2,0,1,639.610904811783,760.587008713685,611.478148726647,746.843109501683,746.843115545441,0.840943767753148,1.04600778644947,0.856419369308436,0.856419362377942,149.108859987038,-120.976109945661,-135.364960775036,-100.003239035589,-60.3468753820967,120.976103901902,-6.04375829755292e-06,760.587008713685
0,0,0,1,1,2,0,2,639.394821241765,760.587008713685,787.841687784212,1021.18197842388,1021.18198446764,0.840659666700222,0.811577796854149,0.626132104513463,0.626132100807766,-27.2546790705272,-121.192193515678,-233.340290639667,15.5355528340028,-60.706360662307,121.19218747192,-6.04375829755292e-06,760.587008713685
0,0,0,1,1,2,0,3,639.394821241765,760.587008713685,901.351538704468,1189.66265801751,1189.66266406127,0.840659666700222,0.709373417347,0.537458931683432,0.537458928953018,-140.764529990783,-121.192193515678,-288.311119313046,80.4217172489494,-60.706360662307,121.19218747192,-6.04375829755292e-06,760.587008713685
0,0,0,0,0,0,1,1,688.097450546226,760.587008713685,854.224678180192,825.265322052359,825.265369788874,0.904692615917731,0.805522795258179,0.83378936707893,0.833789318849355,-93.6376694665068,-72.4896059039737,28.9593561278327,79.1078766303964,14.3132423933792,72.489558167459,-4.77365146481686e-05,760.587008713685
0,0,0,0,0,0,1,2,688.091746890482,760.587008713685,858.344366606499,831.759416178248,831.759463914763,0.904685116899633,0.801649982990955,0.827272566449699,0.827272518970697,-97.7573578928139,-72.4953095597174,26.5849504282512,81.998725593761,14.1937662789248,72.4952618232028,-4.77365146481686e-05,760.587008713685
0,0,0,0,0,0,1,3,688.091746890482,760.587008713685,861.085261227352,835.832100426713,835.832148163228,0.904685116899633,0.799098275018327,0.823241589476157,0.823241542458722,-100.498252513667,-72.4953095597174,25.2531608006392,83.622073704202,14.1937662789248,72.4952618232028,-4.77365146481686e-05,760.587008713685
0,0,0,0,0,1,1,1,687.997053005605,760.587008713685,752.834463666551,776.290585186352,776.290647730794,0.904560615844799,0.913875607732985,0.886262265876184,0.886262194471512,7.7525450471347,-72.5900182525229,-23.4561215198012,3.94380049427282,-13.9910930944964,72.5899557080804,-6.2544442557889e-05,760.587008713685
0,0,0,0,0,1,1,2,687.94642267633,760.587008713685,806.21589558505,860.753425567721,860.753488112163,0.904494048405841,0.853302975597008,0.799237507794507,0.799237449719965,-45.628886871365,-72.6406485817981,-54.5375299826704,41.6827477134657,-15.7604560746331,72.6405860373555,-6.2544442557889e-05,760.587008713685
