"outcome","spec","relative_time","year","estimate","se","ci_lower","ci_upper","att","B","seed"
"employed_y","basic",-5,2010,-0.394516842749088,0.312817785223438,-1.00762843551061,0.218594750012435,2.35292289794929,500,56604
"employed_y","basic",-4,2011,0.445053517067912,0.352228058423018,-0.245300791785674,1.1354078259215,2.35292289794929,500,56604
"employed_y","basic",-3,2012,0.13379115226242,0.348887509466834,-0.550015800948451,0.817598105473292,2.35292289794929,500,56604
"employed_y","basic",-2,2013,-0.0256082389078158,0.288039335908739,-0.590154963419779,0.538938485604148,2.35292289794929,500,56604
"employed_y","basic",-1,2014,0.352234313383317,0.351987767455049,-0.337649033827238,1.04211766059387,2.35292289794929,500,56604
"employed_y","basic",0,2015,2.04090302441441,1.11022266373046,-0.135093411317411,4.21689946014622,2.35292289794929,500,56604
"employed_y","basic",1,2016,1.65345549592463,1.01171322659378,-0.329465990881984,3.63637698273124,2.35292289794929,500,56604
"employed_y","basic",2,2017,3.36441017350883,1.3197277685166,0.777791277818887,5.95102906919877,2.35292289794929,500,56604
"employed_y","basic_cov",-5,2010,-0.0884200628069465,0.322035124771847,-0.719597309116629,0.542757183502736,-0.998028221825342,500,56605
"employed_y","basic_cov",-4,2011,0.552497341995303,0.351463273567829,-0.136358016086191,1.2413527000768,-0.998028221825342,500,56605
"employed_y","basic_cov",-3,2012,0.110430817753272,0.365231134521071,-0.60540905194073,0.826270687447273,-0.998028221825342,500,56605
"employed_y","basic_cov",-2,2013,-0.28304429951393,0.306526050871247,-0.883824319544867,0.317735720517006,-0.998028221825342,500,56605
"employed_y","basic_cov",-1,2014,-0.159666169226271,0.367457232690588,-0.879869111158578,0.560536772706035,-0.998028221825342,500,56605
"employed_y","basic_cov",0,2015,-0.425055828974448,1.35146038171713,-3.07386950367277,2.22375784572388,-0.998028221825342,500,56605
"employed_y","basic_cov",1,2016,-1.98558614805801,1.64803930275312,-5.21568382656062,1.2445115304446,-0.998028221825342,500,56605
"employed_y","basic_cov",2,2017,-0.583442688443571,1.93719609479497,-4.38027726523335,3.21339188834621,-0.998028221825342,500,56605
"employed_y","triple",-5,2010,-0.490623339155444,0.322612000851159,-1.12293124180412,0.141684563493232,0.988954898758919,500,56606
"employed_y","triple",-4,2011,0.421688217560128,0.378292471788218,-0.319751402767413,1.16312783788767,0.988954898758919,500,56606
"employed_y","triple",-3,2012,0.0221329088846067,0.374170693288242,-0.711228174030729,0.755493991799943,0.988954898758919,500,56606
"employed_y","triple",-2,2013,0.384629271263212,0.406778191111239,-0.412641333011167,1.18189987553759,0.988954898758919,500,56606
"employed_y","triple",-1,2014,-0.0405498588620132,0.389133863315748,-0.803238216125811,0.722138498401785,0.988954898758919,500,56606
"employed_y","triple",0,2015,0.788158920863075,1.31918197105796,-1.79739023146509,3.37370807319124,0.988954898758919,500,56606
"employed_y","triple",1,2016,0.808548695258119,1.38508200052093,-1.90616214139759,3.52325953191383,0.988954898758919,500,56606
"employed_y","triple",2,2017,1.37015708015556,1.62462495623905,-1.81404932245795,4.55436348276907,0.988954898758919,500,56606
"employed_y","triple_cov",-5,2010,-0.42093343784462,0.358134230878918,-1.12286363199825,0.280996756309012,-1.36965244119099,500,56607
"employed_y","triple_cov",-4,2011,0.482402925009467,0.407521191631423,-0.316323933524968,1.2811297835439,-1.36965244119099,500,56607
"employed_y","triple_cov",-3,2012,0.0699105177508774,0.370314966167533,-0.655893478873656,0.795714514375411,-1.36965244119099,500,56607
"employed_y","triple_cov",-2,2013,0.39186136348919,0.40964434598675,-0.411026801115304,1.19474952809368,-1.36965244119099,500,56607
"employed_y","triple_cov",-1,2014,-0.278014422175265,0.398374467701749,-1.05881403123101,0.502785186880477,-1.36965244119099,500,56607
"employed_y","triple_cov",0,2015,-0.516629647851552,1.71315966058253,-3.87436088236018,2.84110158665707,-1.36965244119099,500,56607
"employed_y","triple_cov",1,2016,-1.87266954199413,2.16802962240517,-6.12192951932423,2.37659043533598,-1.36965244119099,500,56607
"employed_y","triple_cov",2,2017,-1.71965813372729,2.51465648662279,-6.64829428099799,3.20897801354341,-1.36965244119099,500,56607
